index,İlan Başlığı,Semt,Mahalle,Tür,Oda Sayısı,Binanın Yaşı,Binanın Kat Sayısı,Bulunduğu Kat,Brüt Metrekare,Banyo Sayısı,Wc Sayısı,Site İçerisinde,Isıtma Tipi,Fiyat
484, YENİBOSNA DA İSKANLI 2+1 ACİL SATILIK 85 M2 KULLANIŞLI DAİRE,Bahçelievler, Zafer Mahallesi,Konut,2+1,5-10,4,2. Kat,85,1,1,0,KombiDoğalgaz,465000
485,Beylikdüzü Adnan Kahveci mah 3+1 satılık daire,Beylikdüzü, Adnan Kahveci Mahallesi,Konut,3+1,20,11,5. Kat,150,1,1,0,KombiDoğalgaz,700000
486, YENİBOSNA DA YATIRIMLIK 1+1 KREDİLİ YENİ ACİL SATILIK DAİRE ,Bahçelievler, Zafer Mahallesi,Konut,1+1,5-10,4,Giriş,75,1,1,0,KombiDoğalgaz,325000
487,ÇEKMEKÖY SOĞUKPINAR MAHALLESİNDE SATILIK ŞAHANE 1+1,Çekmeköy, Soğukpınar Mahallesi,Konut,1+1,0,3,Bahçe Katı,55,1,1,0,KombiDoğalgaz,215000
488, شقة للبيع 1+2 افجلار امبرلي قريبة على البحر من مسلم املاك,Avcılar, Ambarlı Mahallesi,Konut,2+1,20,4,1. Kat,100,1,0,0,KombiDoğalgaz,340000
489, Arnavutköy Taşolukta Satılık Lüks Villa,Arnavutköy, Mareşal Fevzi Çakmak Mahallesi,Konut,8+ Oda,5-10,2,Villa Tipi,1306,6,1,0,KombiDoğalgaz,8200000
490,ŞEREF EMLAK KARLITEPE CUMA PAZARINDA SATILIK BAHÇE KATI DAİRE,Gaziosmanpaşa, Yıldıztabya Mahallesi,Konut,2+1,20,4,Bahçe Katı,90,1,1,0,KombiDoğalgaz,335000
491, BEYLİDÜZÜ YAKUPLUDA SATILIK 3+1 ARAKAT DAHA UYGUNU YOK..!!,Beylikdüzü, Yakuplu Mahallesi,Konut,3+1,0,7,5. Kat,130,1,1,0,KombiDoğalgaz,248000
492,SEEWORLD SİNPAŞ AQUA CİTY 2010 2+1 BALKONLU SATILIK aquacity2010,Sancaktepe, Emek Mahallesi,Konut,2+1,5-10,11,8. Kat,98,2,1,0,MerkeziDoğalgaz,945000
493,Sahibinden   Yeni Proje Nest Kurtköy de Topraktan Satılık  2+1 3+1 Daireler,Pendik, Kurtköy Mahallesi,Konut,2+1,0,7,4. Kat,8366,1,1,0,KombiDoğalgaz,750000
494,ÇEKMEKÖY HAMİDİYE MAH. 2+1 80 m2 NET KULLANIMLI İSKANLI YAPI .,Çekmeköy, Hamidiye Mahallesi,Konut,2+1,11-20,5,Giriş,95,1,1,0,KombiDoğalgaz,280000
495,PENDİK YENİ BİNA GENİS 2+1 MERKEZ METRO MARMARAY HIZLI TREN ÇARŞ,Pendik, Yeni Mahallesi,Konut,2+1,5-10,7,1. Kat,100,1,1,0,KombiDoğalgaz,740000
496,JOKER GAYRİMENKUL HARMANDERE MAH EVRALİFE SİTESİ 4+1 DAİRE,Pendik, Harmandere Mahallesi,Konut,4+1,4,9,4. Kat,165,2,1,0,Merkezi(PayÖlçer),1550000
497,BAHÇELİEVLER YAYLA YAKINI 4+2 220 M2 SATILIK DUBLEX,Bahçelievler, Siyavuşpaşa Mahallesi,Konut,4+2,20,5,5. Kat,220,2,1,0,KombiDoğalgaz,900000
498,SİTE İÇİNDE FUL DENİZ MANZARALI GENİŞ BAHÇELİ SATILIK VİLLA,Sarıyer, Rumelifeneri Mahallesi,Konut,7+3,5-10,3,Giriş,1000,4,1,0,Merkezi(PayÖlçer),12500000
499,EYÜP ALİBEYKÖYDE ANA CADDE ÜSTÜ MUHTEŞEM BAHÇELİ TERS DUBLEKS ,Eyüpsultan, Esentepe Mahallesi,Konut,2+1,4,4,Bahçe Dublex,140,2,1,0,KombiDoğalgaz,415000
500,Esenyurt Ardıçlı'da Vatandaşlığa Uygun 300 Metrekare Dubleks,Esenyurt, Ardıçlı Mahallesi,Konut,6+2,5-10,4,4. Kat,300,3,1,0,KombiDoğalgaz,1100000
501, rami bağlar caddesi şirin bahçe katı 2+1 satılık daire,Eyüpsultan, Rami Cuma Mahallesi,Konut,3+1,11-20,4,Bahçe Katı,75,1,1,0,KombiDoğalgaz,245000
502,Elite Life Sitesinde 3+1 Büyük Tip 150m2 Satılık Daire,Ümraniye, Tatlısu Mahallesi,Konut,3+1,5-10,14,6. Kat,150,2,1,0,KombiDoğalgaz,2000000
503,DİKİLİTAŞ EMİRHAN CAD YAKIN YENİ BİNADA SATILIK DAİRE,Beşiktaş, Dikilitaş Mahallesi,Konut,3+1,2,5,2. Kat,130,1,1,0,KombiDoğalgaz,2100000
504, E.K GAYRİMENKULDEN EYÜPSULTAN ESENTEPE 4+2 SATILIK DUBLEX DAİRE ,Eyüpsultan, Esentepe Mahallesi,Konut,4+2,5-10,5,5. Kat,180,2,2,0,KombiDoğalgaz,755000
505,BAHÇELİEVLERİN EN GÜZEL SOKAĞINDA 3+1 120M2 4 KATLININ 3 CÜ KATI,Bahçelievler, Bahçelievler Mahallesi,Konut,3+1,20,4,3. Kat,120,1,1,0,MerkeziDoğalgaz,940000
506, YENİBOSNA BAL EMLAKTAN SATILIK 130m2 2+1 DAİRE,Bahçelievler, Fevzi Çakmak Mahallesi,Konut,2+1,20,6,2. Kat,130,1,1,0,KombiDoğalgaz,555000
507, Küçükyalı63'Te Yeni Binada 3+1 Satılık Dublex Daire,Maltepe, Altıntepe Mahallesi,Konut,3+1,5-10,4,4. Kat,170,2,2,0,KombiDoğalgaz,1100000
508,Sahibinden  UZUNOĞLU EMLAK tan MERKEZİ KONUMDA 2+1 ,Güngören, Akıncılar Mahallesi,Konut,2+1,20,4,4. Kat,95,1,1,0,KombiDoğalgaz,435000
509,EYÜP ALİBEYKÖYDE ANA CADDE ÜSTÜ HALİÇ MANZARALI DUBLEKS,Eyüpsultan, Esentepe Mahallesi,Konut,2+2,4,3,3. Kat,130,4,2,0,KombiDoğalgaz,539000
510, ALEMDAĞ'DA CADDE ÜSTÜNDE TÜM İMKANLARA YAKIN 2+1 ARAKATLAR,Çekmeköy, Alemdağ Mahallesi,Konut,2+1,0,5,1. Kat,85,2,2,0,KombiDoğalgaz,530000
511,Pendik dogu mah. 3+1 125m2 satılık daire,Pendik, Doğu Mahallesi,Konut,3+1,20,7,2. Kat,125,1,1,0,Merkezi(PayÖlçer),450000
512,FUL YAPILI MASRAFSIZ ÇİFT CEPHELİ 3+1 GENİŞ FERAH CADDE ÜSTÜ,Bağcılar, İnönü Mahallesi,Konut,3+1,20,5,3. Kat,120,1,1,0,KombiDoğalgaz,290000
513, GÜNGÖREN DE 150M2 4+1 SATILIK DUBLEX,Güngören, Haznedar Mahallesi,Konut,4+1,20,5,5. Kat,150,3,1,0,KombiDoğalgaz,840000
514, ERENKÖY BAĞDAT CADDESİNE 5.BİNA 155 M2 NET 4+1 LÜKS DAİRE,Kadıköy, Erenköy Mahallesi,Konut,4+1,0,14,8. Kat,195,3,1,0,Merkezi(PayÖlçer),6250000
515,ataturk mah bahce kati  krediye uygun 1+1,Küçükçekmece, Atatürk Mahallesi,Konut,1+1,4,4,Bahçe Katı,65,1,1,0,KombiDoğalgaz,230000
516, YENİBOSNA DA YÜKSEK KİRA GETİRİLİ 1+1 KREDİLİ YENİ Y.GİRİŞ DAİRE,Bahçelievler, Zafer Mahallesi,Konut,1+1,5-10,4,Giriş,70,1,1,0,KombiDoğalgaz,235000
517,ACİLLL BABİL EMLAKTAN ÇAĞLAYAN MAH SATILIK LÜX DAİRE,Kağıthane, Çağlayan Mahallesi,Konut,2+1,20,6,4. Kat,90,1,1,0,KombiDoğalgaz,279000
518, 7 Yıllık Genç Binada Ara Katta Geniş 2+1,Maltepe, Altayçeşme Mahallesi,Konut,2+1,5-10,4,1. Kat,90,2,2,0,KombiDoğalgaz,875000
519,ÇEKMEKÖY EKŞİOĞLU MH 2+1 TERS DUBLEKS DAİREMİZ SATILIK,Çekmeköy, Ekşioğlu Mahallesi,Konut,2+1,0,5,Giriş,85,1,1,0,KombiDoğalgaz,260000
520," SARIYER’DE, BOĞAZ MANZARALI, NATAMAM SATILIK MÜSTAKİL VİLLA",Sarıyer, Merkez Mahallesi,Konut,6+1,0,4,Müstakil,800,4,1,0,KombiDoğalgaz,12750000
521,KAYAŞEHİR ADIM İSTANBUL'DA SATILIK 2+1 DAİRE,Başakşehir, Kayabaşı Mahallesi,Konut,2+1,3,30,10-20,128,2,1,0,Merkezi(PayÖlçer),1565000
522, SARAÇ EMLAK TAN 2 KAT 2+1 ASANSÖRLÜ KELEPİR DAİRE KREDİYE UYGUN,Bahçelievler, Zafer Mahallesi,Konut,2+1,0,4,2. Kat,80,1,1,0,KombiDoğalgaz,365000
523, FATİH EMLAK TAN 2 KAT 2+1 KREDİYE UYGUN KELEPİR DAİRE  ASANSÖRLÜ,Bahçelievler, Zafer Mahallesi,Konut,2+1,0,4,2. Kat,80,1,1,0,KombiDoğalgaz,365000
524,MINIMAL TARZ YAŞAM SEVENLERE MÜJDE BAKMADAN GEÇMEYIN ,Esenyurt, Güzelyurt Mahallesi,Konut,1+1,2,4,Bahçe Katı,74,1,1,0,KombiDoğalgaz,147500
525,SANCAKTEPE YUNUS EMRE MAH 4+1 165M2 İSKANLI CD.YAKIN ÇATI DUBLEX,Sancaktepe, Yunus Emre Mahallesi,Konut,4+1,4,4,4. Kat,165,2,1,0,KombiDoğalgaz,610000
526, EVALMAK'TAN İNÖNÜ MAH.DE 3+1 GENİŞ FERAH ARAKAT DAİRE,Küçükçekmece, İnönü Mahallesi,Konut,3+1,4,4,2. Kat,110,1,2,0,KombiDoğalgaz,559000
527, ACİL 2+1 SATILIK DAİRE  ,Esenyurt, Ardıçlı Mahallesi,Konut,2+1,2,5,2. Kat,110,1,1,0,KombiDoğalgaz,285000
528,Şükrübey metrobüse duraklarına 2 dakika mesafede 3+1,Avcılar, Gümüşpala Mahallesi,Konut,3+1,11-20,5,3. Kat,150,1,1,0,KombiDoğalgaz,475000
529,EREN EMLAKTAN HIRKAİ ŞERİFTE 2+1 KREDİYE UYGUN DAİRE,Fatih, Karagümrük Mahallesi,Konut,2+1,20,6,Giriş,90,1,1,0,KombiDoğalgaz,450000
530, EVALMAK'TA İNÖNÜ MAH.DE 1+1 GENİŞ FERAH 3.KAT DAİRE,Küçükçekmece, İnönü Mahallesi,Konut,1+1,20,3,3. Kat,65,1,1,0,KombiDoğalgaz,165000
531, EROL EMLAK'TAN 3 YILLIK BİNA DA 2+1 90 m2,Bahçelievler, Bahçelievler Mahallesi,Konut,2+1,3,3,1. Kat,90,1,1,0,KombiDoğalgaz,1200000
532,ROTA GAYRİMENKUL DEN ÇAĞLAYAN DA SATILIK DAİRE,Kağıthane, Çağlayan Mahallesi,Konut,3+1,20,5,4. Kat,130,1,1,0,KombiDoğalgaz,335000
533,Sahibinden  UZUNOĞLU EMLAK tan MERKEZİ KONUMDA 2+1 ,Güngören, Merkez Mahallesi,Konut,2+1,20,4,3. Kat,110,1,2,0,KombiDoğalgaz,485000
534, EVALMAK'TA HALKALI MEYDAN'A YÜRÜME MESAFESİNDE 2+1 FERAH ARAKAT,Küçükçekmece, Halkalı Merkez Mahallesi,Konut,2+1,0,4,2. Kat,85,1,1,0,KombiDoğalgaz,559000
535,CADDEYE 150 METRE 3+1 NET 95 m2 BALKONLU VATANDAŞLIĞA UYGUN,Kadıköy, Göztepe Mahallesi,Konut,3+1,2,14,7. Kat,120,2,1,0,KombiDoğalgaz,2875000
536,EREN EMLAKTAN ALİ KUŞÇUDA DENİZ MANZARALI KREDİYE UYGUN DAİRE,Fatih, Ali Kuşçu Mahallesi,Konut,2+1,20,6,5. Kat,80,1,1,0,KombiDoğalgaz,500000
537,PENDİK ALT KAYNARCA MAH. 2+1 KOMBİLİ SATILIK DAİRE,Pendik, Kaynarca Mahallesi,Konut,2+1,1,3,2. Kat,108,1,1,0,KombiDoğalgaz,500000
538, KESKİNLER GAYİMENKULDEN İNÖNÜ MH. 3+1 SIFIR DUBLEX ,Küçükçekmece, İnönü Mahallesi,Konut,3+1,1,4,4. Kat,140,2,2,0,KombiDoğalgaz,580000
539,  BALIKYOLU MAHALLESİNDE 2+1  ARAKAT SATILIK DAİRE,Esenyurt, Balıkyolu Mahallesi,Konut,2+1,4,5,2. Kat,100,1,1,0,KombiDoğalgaz,280000
540,BAHÇELİEVLER AHMET YESEVİDE 3+1 SATILIK DUBLEX,Bahçelievler, Hürriyet Mahallesi,Konut,3+1,20,4,4. Kat,150,2,1,0,KombiDoğalgaz,615000
541,ŞİŞLİ HALİDE EDİPTE FIRSAT SATILIK DAİRE,Şişli, Halide Edip Adıvar Mahallesi,Konut,2+1,5-10,11,3. Kat,110,1,1,0,KombiDoğalgaz,700000
542,YENİDOĞAN MERKEZDE ASANSÖR OTOPARKLI SATILIK,Sancaktepe, Safa Mahallesi,Konut,2+1,0,4,2. Kat,85,2,1,0,KombiDoğalgaz,479000
543,YILDIRIMYAPI DAN ABDURRAHMANGAZI MAH 2+1,Sancaktepe, Abdurrahmangazi Mahallesi,Konut,2+1,0,4,2. Kat,95,1,1,0,KombiDoğalgaz,435000
544,ATEŞİHİR de SATILIK 3 +1 DAİRE,Ataşehir, Yenişehir Mahallesi,Konut,3+1,20,7,5. Kat,125,1,1,0,KombiDoğalgaz,725000
545,SATILIK ACİL 2+1 safa mah ,Sancaktepe, Safa Mahallesi,Konut,2+1,4,4,2. Kat,90,1,1,0,KombiDoğalgaz,350000
546,SECRET HOUSE'DAN YATIRIMLIK 120M2 2+1 DÜZGİRİŞ,Bakırköy, Şenlikköy Mahallesi,Konut,2+1,20,3,Giriş,120,1,1,0,KombiDoğalgaz,1100000
547,ÇEKMEKÖY TAŞDELEN SOĞUKPINAR MAHALLESİ 2+1,Çekmeköy, Soğukpınar Mahallesi,Konut,2+1,2,5,1. Kat,97,2,1,0,KombiDoğalgaz,475000
548,Yeşim emlak dan 2+1 daire ,Küçükçekmece, Mehmet Akif Mahallesi,Konut,2+1,5-10,4,Çatı Katı,75,1,1,0,KombiDoğalgaz,27000
549,BAHÇEŞEHİR TUAL BAHÇEKENT SIFIR BOŞ SATILIK 3+1 DAİRE,Başakşehir, Bahçeşehir 2. Kısım Mahallesi,Konut,3+1,1,28,2. Kat,170,2,1,0,Merkezi(PayÖlçer),1340000
550,Pasifik Residence 3+1 Arakat İskanlı 115m2 Satılık daire,Ümraniye, Mehmet Akif Mahallesi,Konut,3+1,5-10,12,7. Kat,115,1,1,0,KombiDoğalgaz,672500
551,SECRET HOUSE'DAN HATBOYUNDA KREDİYE UYGUN İSKANLI 3+1 ARAKAT,Bakırköy, Şenlikköy Mahallesi,Konut,3+1,11-20,3,2. Kat,170,1,1,0,KombiDoğalgaz,2600000
552,EREN EMLAKTAN AYVANSARAYDA YATIRIMLIK KREDİYE UYGUN DAİRE,Fatih, Ayvansaray Mahallesi,Konut,1+1,20,4,Bodrum,90,1,1,0,MerkeziDoğalgaz,300000
553,Kurtulus sondurak ermeydani cad de 3 kat kiracli masraflı daire.,Beyoğlu, Hacıahmet Mahallesi,Konut,2+1,20,4,3. Kat,90,2,1,0,KombiDoğalgaz,360000
554,Küçükçekmece Atakent Avrupa 3 de 1+1 84m2 Arakat Satılık Daire,Küçükçekmece, Atakent Mahallesi,Konut,1+1,5-10,19,10-20,84,1,1,0,Merkezi(PayÖlçer),1150000
555,büro daire aksaray da,Fatih, Katip Kasım Mahallesi,Konut,3+1,5-10,5,1. Kat,140,2,1,0,KombiDoğalgaz,2975000
556,Sahibinden istanbul büyükçekmeceede kacirilmiycak firsata satilik daire,Büyükçekmece, Atatürk Mahallesi,Konut,2+1,11-20,4,2. Kat,95,1,1,0,KombiDoğalgaz,650000
557,Maltepe Cevizli de müstakil ev ,Maltepe, Cevizli Mahallesi,Konut,5+1,11-20,2,Bahçe Dublex,310,2,3,0,KombiDoğalgaz,2400000
558,KURTULUŞTA FIRSAT YATIRIMLIK DAİRE,Şişli, Yayla Mahallesi,Konut,1+1,5-10,7,-2,70,1,1,0,KombiDoğalgaz,175000
559," KARİYE'DE DOĞRU FİYATTA SATILIK DAİRE,TEKLİFLER DEĞERLENDİRİLİR ",Fatih, Ayvansaray Mahallesi,Konut,2+1,20,4,Giriş,85,1,1,0,KombiDoğalgaz,340000
560,DOĞADAN ŞAİRNEDİMDE KAÇIRILMAZ BAHÇELİ DAİRE,Beşiktaş, Türkali Mahallesi,Konut,1+1,20,5,Bahçe Katı,70,1,1,0,KombiDoğalgaz,465000
561, Yatırımlık Hazır Kiracılı 2+1 Daire,Maltepe, Küçükyalı Mahallesi,Konut,2+1,20,4,2. Kat,90,1,1,0,KombiDoğalgaz,695000
562,ÇEKMEKÖY MEHMET AKİF MH ARAKAT 3+1 SIFIR DAİRE,Çekmeköy, Mehmet Akif Mahallesi,Konut,3+1,0,4,3. Kat,125,1,1,0,KombiDoğalgaz,710000
563,ÇEKMEKÖY MEHMET AKİF MH 2+1 BALKONLU SATILIK DAİRE,Çekmeköy, Mehmet Akif Mahallesi,Konut,2+1,0,4,Giriş,95,1,1,0,KombiDoğalgaz,519000
564,ARSA TAPULU  TALATPAŞA CADDESİ ÜZERİNDE  2+1  SATILIK KÖŞE,Kağıthane, Gültepe Mahallesi,Konut,2+1,20,5,4. Kat,90,1,1,0,KombiDoğalgaz,330000
565, 4.ETAP 1.KISIM DA 125 M2 SATILIK DAİRE ,Başakşehir, Başak Mahallesi,Konut,3+1,11-20,10,4. Kat,125,1,1,1,KombiDoğalgaz,1100000
566,BEŞİKTAŞ DERYADİLDE 1+1 KOMBİLİ DAİRE,Beşiktaş, Muradiye Mahallesi,Konut,1+1,20,5,Giriş,65,1,1,0,KombiDoğalgaz,385000
567,ÇİĞDEM EMLAK'TAN THE İSTANBUL KONUTLARINDA PEYZAJ DENİZ MANZ.4+1,Zeytinburnu, Sümer Mahallesi,Konut,4+1,5-10,14,5. Kat,212,2,1,0,Merkezi(PayÖlçer),5000000
568,* MERAL R1562 Kumkapı Tulumba Çıkmazı YATIRIMLIK ACİL DÜŞEŞ 1+1,Fatih, Saraç İshak Mahallesi,Konut,1+1,20,3,Giriş,65,1,1,0,IsıtmaYok,285000
569,AYIN FIRSATI KESİNLİKLE TAVSİYEMİZDİR ...KAÇMAZ SİTE İÇİ DÜBLEKS,Sancaktepe, Sarıgazi Mahallesi,Konut,4+1,5-10,5,5. Kat,160,2,1,0,KombiDoğalgaz,680000
570, Göztepe Çemenzar'da 4 yıllık 2+1 105 m2 Lüks Daire,Kadıköy, Göztepe Mahallesi,Konut,2+1,4,9,9. Kat,105,1,1,0,KombiDoğalgaz,1900000
571,YILDIZLAR'DAN EVORA İSTANBUL TUZLA D PARSEL DENİZ MANZARALI,Tuzla, Aydıntepe Mahallesi,Konut,1+1,5-10,14,Giriş,62,1,1,0,Merkezi(PayÖlçer),445000
572, Mertcandan şeyhli mah ankara cad 3+1 160 m2 dubleks ,Pendik, Şeyhli Mahallesi,Konut,3+1,5-10,4,4. Kat,160,2,2,0,KombiDoğalgaz,699000
573,ERENKÖYDE MARMARAYA YAKIN SATILIK ÇİFT BALKONLU 155M2 3+1 DAİRE,Kadıköy, Erenköy Mahallesi,Konut,3+1,3,15,3. Kat,155,1,1,0,KombiDoğalgaz,2980000
574,ÜLKEM'DEN GÜLTEPE MAH 12 M2 HİSSELİ 2+1 BAHÇELİ BAHÇEKATI DAİRE,Küçükçekmece, Gültepe Mahallesi,Konut,2+1,20,5,Bahçe Katı,100,1,1,0,KombiDoğalgaz,195000
575, ALEMDAĞ CADDE ÜZERİ OTOPARKLI 2+1 FIRSAT ÇATI DAİRE,Çekmeköy, Çatalmeşe Mahallesi,Konut,2+1,0,4,Çatı Katı,85,1,1,0,KombiDoğalgaz,339000
576," İstanbul House'dan,Bahçelievler Siyavuşpaşa'da 2+1 105 M2 Daire.",Bahçelievler, Siyavuşpaşa Mahallesi,Konut,2+1,3,5,3. Kat,105,1,1,0,KombiDoğalgaz,750000
577, Güngören Haznedar Mah 2+1 80m2 3.Kat Satılık Daire,Güngören, Haznedar Mahallesi,Konut,2+1,20,5,3. Kat,85,1,1,0,KombiDoğalgaz,330000
578, Güngören Günrştepe Mh.Satılık 3+1 Daire 13yş Kredili,Güngören, Güneştepe Mahallesi,Konut,3+1,11-20,3,1. Kat,120,1,2,0,KombiDoğalgaz,685000
579,Remax Öncü Özkan Kocacı Minibüs Caddesi Satılık 2+1 Daire,Kadıköy, Merdivenköy Mahallesi,Konut,2+1,20,5,2. Kat,100,1,1,0,KombiDoğalgaz,1200000
580,KAÇMAZ*BOSTANCI SAHİLE YAKIN SATILIK 3. KAT 3+1 LÜKS DAİRE,Maltepe, Altıntepe Mahallesi,Konut,3+1,4,4,3. Kat,130,1,1,0,KombiDoğalgaz,990000
581,KAÇMAZ*İDEALTEPE SAHİLDE SATILIK ÖN CEPHE GENİŞ 3+1 DAİRE,Maltepe, İdealtepe Mahallesi,Konut,3+1,20,4,3. Kat,145,2,1,0,MerkeziDoğalgaz,1150000
582," ELYSIUM REZİDANS TAKSİM, AKILLI YATIRIM FIRSATI, DUBLEX DAİRE",Şişli, İnönü Mahallesi,Konut,2+1,5-10,10,9. Kat,110,2,0,0,Merkezi(PayÖlçer),2025000
583, ESENYURT MERKEZDE SATILIK ARAKAT 2+1 KELEPİR DAİRE,Esenyurt, Yunus Emre Mahallesi,Konut,2+1,4,5,1. Kat,95,1,1,0,KombiDoğalgaz,350000
584," Green House'dan, Bakırköy City1'de, 3+1, Peyzaj Cepheli, Lüx.",Bakırköy, Kartaltepe Mahallesi,Konut,3+1,3,9,1. Kat,205,2,2,1,Merkezi(PayÖlçer),3100000
585, METROBÜSE YAKIN SİTE İÇERİSİNDE FULL DONANIMLI SATILIK LUX DAİRE,Beylikdüzü, Yakuplu Mahallesi,Konut,2+1,4,18,10-20,120,1,1,0,KombiDoğalgaz,499000
586,ÜLKEM'DEN GÜLTEPE MAH BAĞLAR CADDESİ ÜZERİNDE 2+1 SÜPER ARA KAT ,Küçükçekmece, Gültepe Mahallesi,Konut,2+1,5-10,3,2. Kat,90,1,1,0,KombiDoğalgaz,750000
587,ESENYURT SELEHADDİN EYYÜBİ MAH 2+1 SATLIK DAİRE,Esenyurt, Selahaddin Eyyubi Mahallesi,Konut,2+1,5-10,6,2. Kat,110,1,1,0,KombiDoğalgaz,270000
588, BEYLİKDÜZÜ'NÜN YÜKSELEN DEĞERİ CUMHURİYETTE  KELEPİR  DAİRE !,Beylikdüzü, Cumhuriyet Mahallesi,Konut,3+1,0,8,3. Kat,135,1,2,0,KombiDoğalgaz,225000
589, KAVAKLI'DA REAL YAPI'DAN ÖZEL FİYATLI LÜX 3+1 DAİRE FIRSATI !,Beylikdüzü, Kavaklı Mahallesi,Konut,3+1,0,6,3. Kat,137,1,2,0,KombiDoğalgaz,490000
590, REAL YAPI GÜVENCESİ İLE 1+1 FERAH VE KELEPİR DAİRE FIRSATI !!,Beylikdüzü, Beylikdüzü OSB Mahallesi,Konut,1+1,0,7,2. Kat,88,1,1,0,KombiDoğalgaz,125000
591, BEYLİKDÜZÜ GEZGEN YAPIDAN 105 m2 OTURUMA HAZIR 2+1 SATILIK DAİRE,Beylikdüzü, Cumhuriyet Mahallesi,Konut,2+1,0,5,3. Kat,105,1,2,0,KombiDoğalgaz,353000
592,TURYAP TAÇTAN BÜYÜKÇEKMECE PINARTEPEDE BUTİK SİTEDE DUBLEKS,Büyükçekmece, Pınartepe Mahallesi,Konut,4+1,0,2,2. Kat,260,3,1,0,KombiDoğalgaz,2500000
593, Güngören Akıncılar Mah 2+1 95m2 1.Kat Satılık Daire,Güngören, Akıncılar Mahallesi,Konut,2+1,20,4,1. Kat,95,1,1,0,KombiDoğalgaz,550000
594, Bahçelievler Adnan Kahveci Bulvarında ara kat 3+1,Bahçelievler, Bahçelievler Mahallesi,Konut,3+1,20,3,2. Kat,140,1,1,0,MerkeziDoğalgaz,1150000
595, ÇEVREM'den YENİMAHALLE'de GÜZEL KONUMLU 2+1 75m² DAİRE,Küçükçekmece, Yeni Mahalle Mahallesi,Konut,2+1,5-10,2,Bahçe Katı,75,1,1,0,KombiDoğalgaz,245000
596,YENİDOĞANDA ARAKATTA 2+1 GENİŞ ASANSÖRLÜ -İSKANLI FIRSAT DAİRE,Sancaktepe, Yunus Emre Mahallesi,Konut,2+1,3,4,3. Kat,90,1,1,0,KombiDoğalgaz,359000
597,THE MANDARINS ACIBADEM DENİZ CEPHE BALKONLU EBEVEYN BANYOLU 3+1,Kadıköy, Fikirtepe Mahallesi,Konut,3+1,2,22,10-20,171,2,1,0,Merkezi(PayÖlçer),1900000
598,ORTADAĞ'DA CADDE DİBİNDE SIFIR LÜX ÇATI DUBLEX 110M2 4.KAT 3+1,Sancaktepe, Fatih Mahallesi,Konut,2+1,0,4,4. Kat,110,1,1,0,KombiDoğalgaz,428000
599,ORTADAĞ YAKACIK CADDESİ'NDE SIFIR LÜX 120M2 2.KAT 3+1 KELEPİRRRR,Sancaktepe, Fatih Mahallesi,Konut,3+1,0,4,2. Kat,120,2,1,0,KombiDoğalgaz,545000
600,FENERBAHÇE ORDUEVİNE YAKIN SATILIK BALKONLU GÜVENLİKLİ 3+1 DAİRE,Kadıköy, Fenerbahçe Mahallesi,Konut,3+1,4,20,Giriş,140,1,1,0,KombiDoğalgaz,3350000
601,BULGURLU DA KREDİYE UYGUN SATILIK 3+1 FERAH ARA KAT DAİRE,Üsküdar, Bulgurlu Mahallesi,Konut,3+1,11-20,4,2. Kat,125,1,2,0,KombiDoğalgaz,800000
602,Güngören Merkez Mh.Satılık 2+1 Daire Kredili Y.Giriş,Güngören, Merkez Mahallesi,Konut,2+1,20,4,Giriş,100,1,1,0,KombiDoğalgaz,315000
603,Bağcılar İnönü Mh.Satılık 2+1 Daire 4.kat 23yş Masrafsız,Bağcılar, İnönü Mahallesi,Konut,2+1,20,5,4. Kat,100,1,1,0,KombiDoğalgaz,285000
604,ÇEKMEKÖY MEHMET AKİF'TE METRO YAKININDA 4+2 ÜST DUBLEKS DAİRE!,Çekmeköy, Mehmet Akif Mahallesi,Konut,4+2,0,5,Çatı Dubleks,180,3,2,0,KombiDoğalgaz,1099000
605, DÖNÜŞÜM'DEN FIRSAT! İSKANLI BALKONLU 2+1 SATILIK DAİRE,Pendik, Velibaba Mahallesi,Konut,2+1,5-10,4,4. Kat,95,1,2,0,KombiDoğalgaz,427000
606, Pendik Şeyhli de 2+1 Ebeveyn Banyolu İskanlı Satılık Daire,Pendik, Şeyhli Mahallesi,Konut,2+1,2,7,3. Kat,95,2,2,0,KombiDoğalgaz,530000
607, Göktürk'te cadde üzeri içi yenilenmiş otoparklı 130m2 arakat,Eyüpsultan, Göktürk Merkez Mahallesi,Konut,2+1,11-20,4,Giriş,130,2,2,0,KombiDoğalgaz,890000
608,-DOĞRU YAPI'DAN ADNAN KAHVECİ'DE SİTE İÇİ GENİŞ 150m2-3+1 DAİRE-,Beylikdüzü, Adnan Kahveci Mahallesi,Konut,3+1,4,7,1. Kat,180,2,1,0,KombiDoğalgaz,1735000
609,BÜYÜKÇEKMECE'DEN KREDİYE UYGUN  ULTRA LÜX DAİRELER,Büyükçekmece, Fatih Mahallesi,Konut,3+2,0,5,5. Kat,175,2,1,0,MerkeziDoğalgaz,2250000
610,AKASYA A BLOK KULEDE SATILIK 83 VE 85 M2 İKİZ 1+1 DAİRE,Üsküdar, Acıbadem Mahallesi,Konut,1+1,5-10,30,21-29,165,2,1,0,Merkezi(PayÖlçer),4500000
